,Unnamed: 0,Location,Day,month,dayhalf,age,First F,First M,Female count,Male count,Gender,crime type
0,0,Manipal,2.0,6.0,0.0,30.0,1,0,2,0,1,Other case
1,1,Udupi,3.0,8.0,1.0,,0,0,0,1,2,
2,2,Udupi,1.0,8.0,1.0,,1,0,1,0,1,Accident case
3,3,Karkala,1.0,8.0,0.0,,1,0,4,2,1,Theft case
4,4,Karkala,1.0,8.0,1.0,1.0,0,0,4,1,2,Theft case
5,5,Udupi,6.0,8.0,0.0,45.0,0,1,2,1,0,Other case
6,6,Kundapur,6.0,8.0,1.0,49.0,1,0,1,0,1,Accident case
7,7,Manipal,1.0,8.0,0.0,,0,0,0,0,2,Fraud case
8,9,Kundapur,1.0,9.0,0.0,,0,0,0,0,2,Accident case
9,10,Ajekar,,,,,0,0,0,0,2,Theft case
10,11,Manipal,2.0,8.0,1.0,,1,0,2,0,1,Other case
11,13,Kundapur,1.0,9.0,0.0,1.0,0,0,1,1,2,Other case
12,14,Udupi,1.0,9.0,0.0,,0,0,0,1,2,Accident case
13,15,Kundapur,1.0,9.0,,,1,0,1,0,1,Accident case
14,16,Udupi,,,1.0,,0,0,0,1,2,Accident case
15,17,Udupi,1.0,9.0,1.0,,1,0,5,0,1,Accident case
16,19,Byndoor,,,0.0,,0,1,12,2,0,Other case
17,20,Udupi,,,0.0,3.0,1,0,2,1,1,Other case
18,21,Manipal,,,1.0,,1,0,1,0,1,Theft case
19,23,Kundapur,1.0,9.0,0.0,27.0,0,0,1,1,2,Other case
20,26,Kota,0.0,9.0,0.0,35.0,1,0,2,1,1,Accident case
21,29,Udupi,3.0,9.0,0.0,37.0,1,0,1,0,1,Accident case
22,31,Amasebailu,6.0,9.0,0.0,43.0,1,0,1,0,1,Other case
23,32,Udupi,5.0,9.0,,,0,0,0,0,2,Accident case
24,33,Udupi,5.0,9.0,0.0,,0,0,0,0,2,Accident case
25,34,Kota,6.0,9.0,0.0,40.0,0,0,3,3,2,Accident case
26,35,Hebri,1.0,7.0,0.0,,0,0,1,4,2,Fraud case
27,36,Udupi,4.0,9.0,,54.0,1,0,1,0,1,Missing case
28,37,Hiriyadka,3.0,9.0,0.0,50.0,1,0,2,0,1,Other case
29,38,Hiriyadka,,,0.0,30.0,0,0,1,1,2,Other case
30,39,Kundapur,,,0.0,28.0,1,0,4,0,1,Other case
31,42,Udupi,3.0,9.0,1.0,,0,1,0,1,0,
32,43,Byndoor,4.0,9.0,0.0,31.0,0,0,3,1,2,Accident case
33,44,Udupi,0.0,10.0,0.0,40.0,1,0,1,0,1,Accident case
34,45,Karkala,0.0,10.0,1.0,28.0,0,1,0,3,0,Accident case
35,46,Kundapur,0.0,10.0,1.0,29.0,0,0,0,0,2,Accident case
36,48,Udupi,1.0,10.0,1.0,25.0,1,0,1,4,1,
37,49,Udupi,0.0,10.0,0.0,35.0,0,0,1,1,2,Violence Act in case
38,50,Udupi,0.0,10.0,0.0,45.0,0,0,2,2,2,Violence Act in case
39,52,Shankaranarayana,0.0,10.0,0.0,,0,0,0,0,2,Use of drugs case
40,54,Udupi,0.0,10.0,0.0,50.0,0,0,2,2,2,Violence Act in case
41,55,Hiriyadka,6.0,10.0,0.0,45.0,0,0,0,1,2,Accident case
42,56,Sirva,6.0,10.0,0.0,,1,0,2,1,1,Accident case
43,58,Udupi,6.0,10.0,0.0,38.0,0,0,1,3,2,
44,59,Udupi,6.0,10.0,1.0,45.0,1,0,3,3,1,
45,60,Karkala,1.0,10.0,1.0,36.0,1,0,1,0,1,
46,61,Kundapur,3.0,10.0,0.0,60.0,1,0,2,1,1,Other case
47,62,Udupi,3.0,10.0,0.0,30.0,1,0,1,0,1,Other case
48,63,Manipal,1.0,10.0,1.0,35.0,0,0,0,0,2,Accident case
49,64,Karkala,2.0,10.0,1.0,26.0,1,0,2,0,1,Accident case
50,65,Manipal,1.0,10.0,1.0,60.0,1,0,3,4,1,
51,66,Kundapur,2.0,10.0,0.0,26.0,1,0,1,0,1,Accident case
52,67,Karkala,2.0,10.0,1.0,,0,0,0,1,2,Accident case
53,68,Karkala,1.0,10.0,1.0,64.0,1,0,2,0,1,Violence Act in case
54,69,Byndoor,2.0,10.0,0.0,47.0,1,0,3,3,1,Violence Act in case
55,71,Kundapur,2.0,10.0,0.0,37.0,1,0,1,0,1,Other case
56,72,Kundapur,1.0,10.0,0.0,47.0,1,0,1,1,1,Accident case
57,73,Udupi,1.0,10.0,1.0,55.0,1,0,1,1,1,Accident case
58,75,Shankaranarayana,1.0,10.0,,,1,0,1,1,1,Violence Act in case
59,76,Karkala,1.0,10.0,0.0,32.0,1,0,1,0,1,Violence Act in case
60,78,Kota,1.0,10.0,1.0,1.0,0,0,0,1,2,Other case
61,79,Kundapur,1.0,10.0,0.0,28.0,0,0,0,1,2,Accident case
62,80,Udupi,1.0,10.0,1.0,38.0,1,0,2,0,1,Accident case
63,81,Udupi,1.0,10.0,1.0,,1,0,1,0,1,Accident case
64,82,Kundapur,0.0,10.0,0.0,62.0,0,0,0,0,2,Theft case
65,83,Byndoor,6.0,10.0,0.0,54.0,0,0,3,3,2,Accident case
66,84,Udupi,6.0,10.0,1.0,31.0,1,0,1,0,1,Accident case
67,85,Udupi,0.0,10.0,1.0,55.0,0,0,0,1,2,Accident case
68,86,Shankaranarayana,0.0,10.0,1.0,43.0,1,0,2,1,1,Accident case
69,87,Shankaranarayana,0.0,10.0,1.0,19.0,0,0,0,0,2,Accident case
70,88,Byndoor,3.0,10.0,1.0,37.0,1,0,4,1,1,Accident case
71,89,Byndoor,6.0,10.0,,30.0,1,0,1,0,1,Accident case
72,90,Kota,6.0,10.0,1.0,39.0,1,0,2,1,1,Accident case
73,91,Kundapur,6.0,10.0,1.0,35.0,1,0,2,0,1,Accident case
74,92,Udupi,,,0.0,31.0,1,0,1,1,1,Other case
75,93,Udupi,6.0,10.0,1.0,37.0,0,0,0,0,2,Jugari case
76,94,Udupi,3.0,11.0,1.0,34.0,1,0,3,0,1,Accident case
77,95,Kundapur,3.0,11.0,,,0,0,0,0,2,Accident case
78,96,Amasebailu,4.0,11.0,1.0,33.0,1,0,1,0,1,Accident case
79,97,Karkala,2.0,11.0,1.0,30.0,1,0,1,0,1,
80,99,Udupi,1.0,2.0,0.0,40.0,1,0,1,0,1,Fraud case
81,102,Byndoor,2.0,11.0,0.0,52.0,1,0,1,2,1,Accident case
82,103,Udupi,2.0,11.0,0.0,32.0,0,0,0,0,2,Accident case
83,104,Udupi,2.0,11.0,0.0,49.0,1,0,1,1,1,Accident case
84,105,Kundapur,2.0,11.0,1.0,46.0,1,0,1,2,1,Theft case
85,106,Udupi,2.0,11.0,0.0,19.0,1,0,2,2,1,
86,107,Byndoor,2.0,11.0,1.0,,1,0,2,1,1,Other case
87,108,Udupi,0.0,11.0,1.0,40.0,1,0,3,1,1,Accident case
88,109,Karkala,1.0,11.0,1.0,31.0,1,0,2,1,1,Accident case
89,113,Shankaranarayana,1.0,11.0,1.0,42.0,1,0,1,0,1,Missing case
90,114,Udupi,5.0,10.0,1.0,18.0,1,0,1,0,1,Accident case
91,115,Udupi,0.0,11.0,1.0,31.0,1,0,1,0,1,Accident case
92,116,Udupi,1.0,11.0,1.0,,1,0,1,0,1,Accident case
93,117,Hiriyadka,1.0,11.0,0.0,,1,0,1,6,1,Other case
94,118,Udupi,0.0,11.0,0.0,27.0,0,0,0,1,2,Accident case
95,119,Udupi,,,1.0,60.0,1,0,1,2,1,Other case
96,120,Karkala,6.0,11.0,1.0,21.0,0,0,1,1,2,Accident case
97,121,Udupi,,,1.0,,1,0,1,2,1,Violence Act in case
98,122,Udupi,,,1.0,,1,0,1,2,1,Violence Act in case
99,125,Kota,0.0,11.0,0.0,21.0,0,1,2,5,0,Violence Act in case
100,126,Kollur,1.0,11.0,1.0,41.0,1,0,1,1,1,
101,130,Hiriyadka,5.0,11.0,1.0,68.0,0,0,1,3,2,Theft case
