,Location,Day,month,dayhalf,age,First F,First M,Female count,Male count,Gender,crimetype
0,Manipal,2.0,6.0,0.0,30.0,1,0,2,0,1,Other case
2,Udupi,1.0,8.0,1.0,39.0,1,0,1,0,1,Accident case
3,Karkala,1.0,8.0,0.0,39.0,1,0,4,2,1,Theft case
4,Karkala,1.0,8.0,1.0,1.0,0,0,4,1,2,Theft case
5,Udupi,6.0,8.0,0.0,45.0,0,1,2,1,0,Other case
6,Kundapur,6.0,8.0,1.0,49.0,1,0,1,0,1,Accident case
7,Manipal,1.0,8.0,0.0,39.0,0,0,0,0,2,Fraud case
8,Kundapur,1.0,9.0,0.0,39.0,0,0,0,0,2,Accident case
9,Ajekar,2.0,7.0,0.0,39.0,0,0,0,0,2,Theft case
10,Manipal,2.0,8.0,1.0,39.0,1,0,2,0,1,Other case
11,Kundapur,1.0,9.0,0.0,1.0,0,0,1,1,2,Other case
12,Udupi,1.0,9.0,0.0,39.0,0,0,0,1,2,Accident case
13,Kundapur,1.0,9.0,0.0,39.0,1,0,1,0,1,Accident case
14,Udupi,2.0,7.0,1.0,39.0,0,0,0,1,2,Accident case
15,Udupi,1.0,9.0,1.0,39.0,1,0,5,0,1,Accident case
16,Byndoor,2.0,7.0,0.0,39.0,0,1,12,2,0,Other case
17,Udupi,2.0,7.0,0.0,3.0,1,0,2,1,1,Other case
18,Manipal,2.0,7.0,1.0,39.0,1,0,1,0,1,Theft case
19,Kundapur,1.0,9.0,0.0,27.0,0,0,1,1,2,Other case
20,Kota,0.0,9.0,0.0,35.0,1,0,2,1,1,Accident case
21,Udupi,3.0,9.0,0.0,37.0,1,0,1,0,1,Accident case
22,Amasebailu,6.0,9.0,0.0,43.0,1,0,1,0,1,Other case
23,Udupi,5.0,9.0,0.0,39.0,0,0,0,0,2,Accident case
24,Udupi,5.0,9.0,0.0,39.0,0,0,0,0,2,Accident case
25,Kota,6.0,9.0,0.0,40.0,0,0,3,3,2,Accident case
26,Hebri,1.0,7.0,0.0,39.0,0,0,1,4,2,Fraud case
27,Udupi,4.0,9.0,0.0,54.0,1,0,1,0,1,Missing case
28,Hiriyadka,3.0,9.0,0.0,50.0,1,0,2,0,1,Other case
29,Hiriyadka,2.0,7.0,0.0,30.0,0,0,1,1,2,Other case
30,Kundapur,2.0,7.0,0.0,28.0,1,0,4,0,1,Other case
32,Byndoor,4.0,9.0,0.0,31.0,0,0,3,1,2,Accident case
33,Udupi,0.0,10.0,0.0,40.0,1,0,1,0,1,Accident case
34,Karkala,0.0,10.0,1.0,28.0,0,1,0,3,0,Accident case
35,Kundapur,0.0,10.0,1.0,29.0,0,0,0,0,2,Accident case
37,Udupi,0.0,10.0,0.0,35.0,0,0,1,1,2,Violence Act in case
38,Udupi,0.0,10.0,0.0,45.0,0,0,2,2,2,Violence Act in case
